sample	longitude	latitude
di0247	133.88	-23.69
di0678	147.9813834	-37.22
di0794	153.43	-28.05
di1085	140.34	-31.75
di1426	147.35	-36.58
di1436	147.77	-36.07
di1522	144.35	-21.62
DO-CO-159148	140.75444	-35.849285
DO-CO-167564	138.2288601	-31.15575437
DO-CO-167565	138.2193422	-31.15044225
DO-CO-167767	138.2193203	-31.15041891
DO-CO-168535	132.05994	-31.549741
DO-CO-169117	140.8906415	-35.68230629
DO-CO-170078	132.4436425	-31.69065071
DO-CO-170282	132.6861153	-31.74923348
DO-CO-170647	134.3509964	-32.04803479
DO-CO-175110	140.928261	-35.17805763
Elly01	151.79	-30.66
HF014	147.98	-36.43
HF081	148.94	-37.18
HF093	147.93	-37.75
HF145	147.33	-36.16
HF154	147.09	-37.4
HF225	147.62	-36.83
LV3003932745	146.25	-37.14
ND0090	152.54	-30.93
ND0413	148.73	-35.13
ND0934	144.42	-30.18
ND1006	148.03	-35.92
ND1009	148.5	-35.35
ND1012	148.36	-35.67
ND1034	143.94	-31.1
ND1039	143.91	-30.48
ND1099	148.83	-34.78
ND1304	152.68	-30.28
ND1602	152.82	-29.41
ND1603	153.17	-30.04
ND1644	143.37	-31.22
ND1782	148.83	-35.85
WA0021	118.32	-27.32
WA0164	117.6	-26.88
WA0517	117.89	-27.78
WA0741	119.12	-27.09
WA1142	119.42	-27.23
wdi0817	118.06	-20.94
wdi0828	122.51	-30.39
wdi0964	115.91	-27.31
Dingo_Ancient_Nullarbor_A19058	129	-31.452438
Dingo_Ancient_Nullarbor_A19053	130.432094	-31.452438
Dingo_Alpine_Cooinda	150.5748	-34.264099
Dingo_Alpine_D01	144.568549	-37.563751
Dingo_Alpine_D05	148.384041	-36.411517
Dingo_Alpine_D07	147.131633	-37.211651
Dingo_Desert_Sandy	140.1	-29.1
Dingo_FraserIsland_D02	153.132173	-25.250672
Dingo_Gibson_Desert_D08	114.699963	-25.193006
Dingo_Kimberley_D09	121.598533	-21.675574
Dingo_Northern_Queensland_D04	145.330773	-16.258719
Dingo_Northern_Queensland_D10	145.217011	-15.442037
Dingo_Northern_Territory_D06	130.957901	-12.44222
Dingo_Simpson_Desert_D03	138.41188	-24.486439
Dingo_Ancient_Curracurrang_D10	151.110011	-34.145507
Dingo_Ancient_Curracurrang_D13	151.110011	-34.145507
Dingo_Ancient_Curracurrang_D16	151.110011	-34.145507
Dingo_FraserIsland_Y07	153.132173	-25.250672
Dingo_FraserIsland_Y47	153.132173	-25.250672
Dingo_FraserIsland_E56	153.132173	-25.250672
Dingo02	NA	NA
Dingo03	125.868	-17.269
Dingo04	119.105	-28.183
Dingo05	147.083	-36.505
Dingo06	147.528	-36.184
Dingo07	138.449	-29.561
Dingo08	148.913	-35.798
Dingo09	149.383	-27.133
Dingo10	130.317	-20.542
Dingo11	153.067	-25.45
Dingo12	148.248	-35.777
Dingo13	NA	NA
Dingo14	NA	NA
Dingo15	NA	NA
Dingo16	NA	NA
Dingo17	NA	NA
Dingo18	NA	NA
Dingo19	NA	NA
Dingo20	NA	NA
Dingo21	NA	NA
Dingo22	NA	NA
Dingo32	141.38	-35.31
Dingo31	141.96	-35.81
Dingo30	150.17	-33.26
Dingo29	149.33	-32.99
Dingo28	152.32	-32.53
Dingo27	152.32	-32.53
Dingo26	147.65	-37.03
Dingo25	145.67	-37.54
Dingo24	NA	NA
Dingo23	148.66	-36.22
Dingo_Ancient_Nullarbor_1227	129	-31.452438
Dingo_Ancient_Nullarbor_276	130.432094	-31.452438
Dingo_Ancient_Nullarbor_295	129	-31.452438
Dingo_Ancient_Nullarbor_372	130.432094	-31.452438
Dingo_Ancient_Nullarbor_485	129	-31.452438
Dingo_Ancient_Nullarbor_615	130.432094	-31.452438
Dingo_Ancient_Nullarbor_639	129	-31.452438
Dingo_Ancient_Nullarbor_762	130.432094	-31.452438
Dingo_Ancient_Nullarbor_884	129	-31.452438
McEachernCave.1468bp	141.017	-37.9917
Papua_Indonesia_518bp	137.035658	-3.941776
MtGambier.724bp	140.682874	-37.946415
Nunderah.983bp	150.39145	-35.543498
Gatton.838bp	152.295663	-27.580272
TowerHill.460bp	142.361208	-38.321215
HighlandWildDog01	137.19	-4.08
HighlandWildDog02	137.19	-4.08
HighlandWildDog03	137.19	-4.08
