pop1,pop2,pop3,est,se,z,p,n
CoyoteCalifornia,di0247,di0247,0.350901685181587,0.00125009426399879,280.700180208112,0,504278
CoyoteCalifornia,di0247,di0678,0.241887748383839,0.00250095904023129,96.7179967735375,0,318962
CoyoteCalifornia,di0247,di0794,0.245003988098317,0.00227436883718777,107.723947009959,0,367343
CoyoteCalifornia,di0247,di1085,0.243694390112412,0.00205642467535495,118.503922381863,0,448886
CoyoteCalifornia,di0247,di1426,0.24692419656852,0.00248458890467106,99.382314758107,0,268629
CoyoteCalifornia,di0247,di1436,0.243928525192134,0.00244789051468252,99.6484621060635,0,339868
CoyoteCalifornia,di0247,di1522,0.244924147831526,0.00206548553091449,118.579454644297,0,433277
CoyoteCalifornia,di0247,Dingo02,0.234928938554494,0.00216903514190167,108.310342242092,0,349627
CoyoteCalifornia,di0247,Dingo03,0.232141165989119,0.00207855898565985,111.683703753745,0,285097
CoyoteCalifornia,di0247,Dingo04,0.236667041563271,0.00203893085103159,116.074089243159,0,417893
CoyoteCalifornia,di0247,Dingo05,0.226610356092191,0.00241471317319128,93.8456619229448,0,277035
CoyoteCalifornia,di0247,Dingo06,0.229216801204901,0.0023839971423363,96.1481023338264,0,295455
CoyoteCalifornia,di0247,Dingo07,0.232305184376204,0.00198470930501086,117.047460698499,0,435848
CoyoteCalifornia,di0247,Dingo08,0.228990637719577,0.00245399593444397,93.3133728974421,0,291382
CoyoteCalifornia,di0247,Dingo09,0.230964955068195,0.00203094550301116,113.722871798262,0,319818
CoyoteCalifornia,di0247,Dingo10,0.231351171002927,0.0018879213350624,122.542802343659,0,446583
CoyoteCalifornia,di0247,Dingo12,0.230976047749077,0.00223517908430034,103.33670772576,0,347483
CoyoteCalifornia,di0247,Dingo13,0.232546302759551,0.00214586266283635,108.369611339515,0,343824
CoyoteCalifornia,di0247,Dingo14,0.233869552837227,0.00217557660757652,107.49773279542,0,347681
CoyoteCalifornia,di0247,Dingo15,0.233430054978619,0.0021502128698835,108.561370015085,0,337222
CoyoteCalifornia,di0247,Dingo16,0.229405787227103,0.00221056171749145,103.777146510722,0,343446
CoyoteCalifornia,di0247,Dingo17,0.232419860585872,0.00214299719621209,108.455513146117,0,337412
CoyoteCalifornia,di0247,Dingo18,0.228455944737809,0.00221822163329845,102.99058548,0,315876
