pop1,pop2,pop3,est,se,z,p,n
CoyoteCalifornia,di0247,di0247,0.137237611126992,0.000767613996718127,178.784664836415,0,4691367
CoyoteCalifornia,di0247,di0678,0.112897833667758,0.00101390057022997,111.350005101734,0,2985230
CoyoteCalifornia,di0247,di0794,0.113340163091833,0.00091742869805224,123.541113693589,0,3429111
CoyoteCalifornia,di0247,di1085,0.114088136922308,0.000899760722281361,126.798307702336,0,4182810
CoyoteCalifornia,di0247,di1426,0.115028758574351,0.0010634587187738,108.164761399467,0,2527594
CoyoteCalifornia,di0247,di1436,0.11436755067102,0.00102239743117745,111.862126393753,0,3178642
CoyoteCalifornia,di0247,di1522,0.114575462220507,0.00090158546565288,127.08219751251,0,4056235
CoyoteCalifornia,di0247,Dingo02,0.115015892967142,0.000983486146689185,116.947140897035,0,3529234
CoyoteCalifornia,di0247,Dingo03,0.114133621806791,0.000896660905450227,127.287384911114,0,4437150
CoyoteCalifornia,di0247,Dingo04,0.115512848992793,0.00091982815960846,125.580900939109,0,4172973
CoyoteCalifornia,di0247,Dingo05,0.112451934788297,0.00108587638940461,103.558688526191,0,2770975
CoyoteCalifornia,di0247,Dingo06,0.113736624899754,0.00110894101055192,102.563277773582,0,2972688
CoyoteCalifornia,di0247,Dingo07,0.114452752852427,0.000895790415077629,127.767333659747,0,4367597
CoyoteCalifornia,di0247,Dingo08,0.113954174081239,0.00108597616486931,104.932481731726,0,2892948
CoyoteCalifornia,di0247,Dingo09,0.114003272811657,0.00089616804455365,127.211936984919,0,3999008
CoyoteCalifornia,di0247,Dingo10,0.114398337562882,0.000876951211003486,130.450059396095,0,4433491
CoyoteCalifornia,di0247,Dingo12,0.114025108065324,0.000989135440304961,115.277547865608,0,3489556
CoyoteCalifornia,di0247,Dingo13,0.114736024028837,0.000958836882320026,119.661671494341,0,3463838
CoyoteCalifornia,di0247,Dingo14,0.114680014317457,0.000987218393290601,116.164786937574,0,3483859
CoyoteCalifornia,di0247,Dingo15,0.113547242225177,0.000939568580369833,120.850403682595,0,3392971
CoyoteCalifornia,di0247,Dingo16,0.113503102346126,0.000954196027750388,118.951556121776,0,3434981
CoyoteCalifornia,di0247,Dingo17,0.114094958857411,0.000944724607096565,120.770601295187,0,3392227
CoyoteCalifornia,di0247,Dingo18,0.11287332175129,0.00102271750736936,110.366079526324,0,3100777
CoyoteCalifornia,di0247,Dingo19,0.113837584178172,0.000934316242785798,121.840527826797,0,3530161
CoyoteCalifornia,di0247,Dingo20,0.114144831304072,0.00107388616949956,106.291369184188,0,2667462
CoyoteCalifornia,di0247,Dingo21,0.115097463716242,0.000939355122148046,122.528169594738,0,3771660
