pop1,pop2,pop3,pop4,est,se,z,p,n
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDAfghanistan_8236,0.0798645119164218,0.00237450683133349,33.6341470416284,5.31729247619893e-248,18378
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDAfghanistan_8237,0.07975769126055,0.00238676386980839,33.4166660847573,7.85242216248897e-245,18365
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDAfghanistan_8256,0.0771760996031099,0.0025274901350288,30.5346788632394,9.03326019070291e-205,18393
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDAfghanistan_8257,0.0780961182994454,0.00235669080229513,33.1380417929196,8.42091614123812e-241,18394
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDAfghanistan_8263,0.0767268410273141,0.00223822300989143,34.2802485222578,1.54564247684632e-257,18391
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDAfghanistan_8264,0.078140589569161,0.00219954810700135,35.5257470025014,1.96854716182478e-276,18375
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDAfghanistan_8267,0.0773731765730459,0.00201705460243248,38.3594854000172,0,18372
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDAfghanistan_8316,0.0808339230308639,0.00251883455105076,32.0917953889203,5.73854091361234e-226,18371
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDAfghanistan_8317,0.0771838579675417,0.00225530343652394,34.2232697904739,1.08995572403602e-256,18362
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDAfghanistan_8451,0.0774633809471886,0.0025677012204629,30.1683779755433,6.15843310185031e-200,18342
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDAfghanistan_8868,0.080029408561159,0.00208888177959131,38.3120812977825,0,18362
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDAfghanistan_PFZ25B01,0.0759835887403543,0.0022397655362279,33.9247959267745,2.87125593737078e-252,18402
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDAfghanistan_PFZ25C08,0.0792874100654235,0.00215586028919923,36.7776198034029,4.20851355326679e-296,18393
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBelize_8232,0.0778454510848877,0.00256180176851462,30.3869924838188,8.15989831600297e-203,18389
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBelize_8233,0.0792165397170838,0.00215561556452371,36.7489180449423,1.20982346145114e-295,18380
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBelize_8234,0.0774388366744535,0.00234847292003504,32.9741237439085,1.90866053500775e-238,18407
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBelize_8235,0.0779347826086957,0.00248663826639666,31.3414233432632,1.27333436170128e-215,18400
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBosnia_BH4,0.0795405052264808,0.00238013255855364,33.4185190403076,7.38052944589474e-245,18368
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBosnia_BH5,0.0777444019661387,0.00229563939024686,33.8661212629648,2.10159616718931e-251,18310
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBosnia_BH7,0.0771710741103493,0.00197529183964541,39.0681885893897,0,18378
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBrazil_PFZ1B09,0.079146069857135,0.00224769275935611,35.2121389935018,1.303700577486e-271,18409
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBrazil_PFZ2G06,0.0792954533108805,0.00212887475654886,37.2475896324813,1.15918640900157e-303,18409
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBrazil_PFZ3A01,0.0784905318474222,0.00215938522552613,36.3485546347101,2.76953272544895e-289,18395
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBrazil_PFZ3B01,0.0778411663497239,0.00235076577069523,33.1131103405094,1.92466808013238e-240,18405
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBrazil_PFZ3B03,0.0788446207921152,0.0022030360658119,35.7890740036787,1.63346545683025e-280,18398
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBrazil_PFZ3C03,0.0774961931694583,0.00250846829927609,30.8938299885323,1.44560207966222e-209,18388
CoyoteCalifornia,Dingo_Ancient_Curracurrang,AndeanFox,VDBrazil_PFZ3E03,0.0808091794007286,0.00244674099730327,33.0272715787222,3.298486107251e-239,18389
