pop1,pop2,pop3,pop4,est,se,z,p,n
CoyoteCalifornia,AfghanHound,AndeanFox,FernCave.100bp,0.0218492787491437,0.0005930203910308,36.8440597989639,3.64071583703849e-297,71034
CoyoteCalifornia,AfghanHound,AndeanFox,Castlemaine.99bp,0.0221548048244932,0.000213502725928257,103.768252738552,0,1479506
CoyoteCalifornia,AfghanHound,AndeanFox,Meredith.99bp,0.0229458601864444,0.000211247428565983,108.62077868691,0,1589822
CoyoteCalifornia,AfricanHuntingDogKenya,AndeanFox,FernCave.100bp,-0.076284383865798,0.00107707036474253,-70.8258126515562,0,64856
CoyoteCalifornia,AfricanHuntingDogKenya,AndeanFox,Castlemaine.99bp,-0.0730966767944558,0.000312419647831257,-233.969525610427,0,1318155
CoyoteCalifornia,AfricanHuntingDogKenya,AndeanFox,Meredith.99bp,-0.0746741942762851,0.000297423605061731,-251.070167281397,0,1444726
CoyoteCalifornia,AiredaleTerrier,AndeanFox,FernCave.100bp,0.0246932816067002,0.00061328960154686,40.2636561005078,0,71401
CoyoteCalifornia,AiredaleTerrier,AndeanFox,Castlemaine.99bp,0.0244396453245271,0.000217182201092893,112.530608869158,0,1491072
CoyoteCalifornia,AiredaleTerrier,AndeanFox,Meredith.99bp,0.0251304682025205,0.00021145147832612,118.847446238999,0,1595855
CoyoteCalifornia,AlaskanHusky,AndeanFox,FernCave.100bp,0.0210784451206688,0.000582736344572888,36.1714955948356,1.70909538374405e-286,71311
CoyoteCalifornia,AlaskanHusky,AndeanFox,Castlemaine.99bp,0.0210458027111003,0.000210561252157918,99.9509762380982,0,1488842
CoyoteCalifornia,AlaskanHusky,AndeanFox,Meredith.99bp,0.0217358812635975,0.000208727003735317,104.135453844584,0,1594052
CoyoteCalifornia,AlaskanMalamute,AndeanFox,FernCave.100bp,0.0212344122180187,0.00058724435732443,36.1594146511101,2.64642740395791e-286,71370
CoyoteCalifornia,AlaskanMalamute,AndeanFox,Castlemaine.99bp,0.0212683936319442,0.000207746250988893,102.376786732393,0,1490167
CoyoteCalifornia,AlaskanMalamute,AndeanFox,Meredith.99bp,0.0218726765624471,0.000207371794256729,105.47565854288,0,1595158
CoyoteCalifornia,AmericanHairlessTerrier,AndeanFox,FernCave.100bp,0.0245047694082554,0.000635607084175888,38.5533295935927,0,71078
CoyoteCalifornia,AmericanHairlessTerrier,AndeanFox,Castlemaine.99bp,0.0242037532352855,0.000224304705920158,107.905686311819,0,1480163
CoyoteCalifornia,AmericanHairlessTerrier,AndeanFox,Meredith.99bp,0.0251038569689003,0.000218970292613005,114.645035494689,0,1588242
CoyoteCalifornia,AustralianCattleDog,AndeanFox,FernCave.100bp,0.0247270189394471,0.000593890308418064,41.635666703018,0,71403
CoyoteCalifornia,AustralianCattleDog,AndeanFox,Castlemaine.99bp,0.0241880214241467,0.000210032312987383,115.163334060887,0,1491588
CoyoteCalifornia,AustralianCattleDog,AndeanFox,Meredith.99bp,0.0249834239663864,0.000204447585032356,122.199653091684,0,1596180
CoyoteCalifornia,AustralianTerrier,AndeanFox,FernCave.100bp,0.0241206419948135,0.000644714141368341,37.4129252750992,2.40855959317588e-306,70904
CoyoteCalifornia,AustralianTerrier,AndeanFox,Castlemaine.99bp,0.0242797387504528,0.000223254776768371,108.753501725266,0,1471237
CoyoteCalifornia,AustralianTerrier,AndeanFox,Meredith.99bp,0.0252577664491418,0.000220394541277571,114.602504684231,0,1584186
CoyoteCalifornia,AustraliaVillage,AndeanFox,FernCave.100bp,0.0228930393355537,0.000627802669337863,36.4653424613482,3.93046358843998e-291,71157
CoyoteCalifornia,AustraliaVillage,AndeanFox,Castlemaine.99bp,0.0224489630960817,0.000222494761661025,100.896591580359,0,1484612
CoyoteCalifornia,AustraliaVillage,AndeanFox,Meredith.99bp,0.0232781382015691,0.000216443596537388,107.548287747788,0,1590720
CoyoteCalifornia,Basenji,AndeanFox,FernCave.100bp,0.0196717253105017,0.000611581961606051,32.1653131476321,5.39507741582709e-227,71363
CoyoteCalifornia,Basenji,AndeanFox,Castlemaine.99bp,0.0203649488522468,0.000225980558078781,90.1181456731657,0,1489606
CoyoteCalifornia,Basenji,AndeanFox,Meredith.99bp,0.0210511427410484,0.000223643330223629,94.1281938522316,0,1594762
CoyoteCalifornia,BavarianHound,AndeanFox,FernCave.100bp,0.0245385404805088,0.000632092937070913,38.8210958252741,0,71133
CoyoteCalifornia,BavarianHound,AndeanFox,Castlemaine.99bp,0.0241182227547531,0.000217105321071081,111.089966085432,0,1480561
CoyoteCalifornia,BavarianHound,AndeanFox,Meredith.99bp,0.0249301135108845,0.000218273881816498,114.214826361329,0,1589363
CoyoteCalifornia,Beagle,AndeanFox,FernCave.100bp,0.0243088130277105,0.000598088493673462,40.6441743736043,0,71417
CoyoteCalifornia,Beagle,AndeanFox,Castlemaine.99bp,0.0242654075169085,0.000207533944967419,116.92259558174,0,1491615
CoyoteCalifornia,Beagle,AndeanFox,Meredith.99bp,0.0250686146266775,0.000205319916263037,122.095386959743,0,1596234
CoyoteCalifornia,BeardedCollie,AndeanFox,FernCave.100bp,0.0247500374300526,0.000611547655077331,40.4711508981634,0,71244
CoyoteCalifornia,BeardedCollie,AndeanFox,Castlemaine.99bp,0.0242035004203581,0.000213037536074081,113.611436117725,0,1486431
CoyoteCalifornia,BeardedCollie,AndeanFox,Meredith.99bp,0.0248788611884596,0.000207169734214023,120.089265369032,0,1593076
CoyoteCalifornia,BelgianMalinois,AndeanFox,FernCave.100bp,0.0241513804289485,0.000583237679468705,41.4091566425354,0,71415
