pop1,pop2,pop3,pop4,est,se,z,p,n
CoyoteCalifornia,FernCave.100bp,AndeanFox,di0247,0.0558419243986257,0.0110947758470664,5.03317283452744,4.8242780938875e-07,582
CoyoteCalifornia,FernCave.100bp,AndeanFox,di0678,0.0555260361317748,0.0067522586691254,8.22332775633534,1.97932955026819e-16,1882
CoyoteCalifornia,FernCave.100bp,AndeanFox,di0794,0.0482062780269059,0.00740691497681452,6.50828019192923,7.60160348916779e-11,1784
CoyoteCalifornia,FernCave.100bp,AndeanFox,di1085,0.0188172043010753,0.0203792874080405,0.923349473625416,0.355825113431567,186
CoyoteCalifornia,FernCave.100bp,AndeanFox,di1426,0.0700784593437944,0.00510410312651113,13.729828259112,6.72928361186831e-43,2804
CoyoteCalifornia,FernCave.100bp,AndeanFox,di1436,0.0534718702483527,0.00636927142463422,8.39528835928414,4.64752227669519e-17,1973
CoyoteCalifornia,FernCave.100bp,AndeanFox,di1522,0.0587188612099644,0.0206363098786644,2.84541478370962,0.00443536253934958,281
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo02,0.0492272467086433,0.00758002867340653,6.49433515751071,8.34008920963571e-11,1747
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo03,-0.0384615384615385,0.0524735176331943,-0.732970461984199,0.463576445265561,26
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo04,0.0613207547169814,0.0107042165688503,5.72865415442241,1.01230537200731e-08,530
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo05,0.0460081190798375,0.0057666160019836,7.97835664174824,1.48294390685324e-15,1478
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo06,0.0521400778210106,0.00527002563008543,9.8937047902299,4.43311497700219e-23,2570
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo07,0.0961538461538461,0.0402680348867235,2.38784550635095,0.0169474643919352,26
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo08,0.0647083865474672,0.0059308072681433,10.9105529183255,1.02630213386251e-27,2349
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo09,0.0152439024390243,0.0168239498040315,0.90608344750122,0.364891685765035,164
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo10,0.0409836065573771,0.0314221795626385,1.3042891081339,0.192135027554456,61
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo12,0.0549738219895282,0.00897459522535271,6.12549319597505,9.04031346655922e-10,955
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo13,0.0579710144927537,0.00866818140228088,6.68779433682591,2.26559221228572e-11,1380
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo14,0.0521235521235521,0.00972462438585103,5.35995531091052,8.32425411345657e-08,777
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo15,0.0499363867684478,0.00852640452412815,5.85667576844813,4.72223769662224e-09,1572
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo16,0.055984555984556,0.00803343935801736,6.96893988857755,3.19338098948341e-12,1295
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo17,0.0621156211562115,0.00663673268174767,9.35936764893993,8.02153236950107e-21,1626
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo18,0.0413354531001589,0.00976271253948562,4.23401313241338,2.29557530146745e-05,629
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo19,0.0512311358220803,0.00932384557716519,5.49463581288275,3.91517524876238e-08,1259
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo20,0.0500725689404945,0.00707825728422987,7.07413801587216,1.50380562213656e-12,1378
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo21,0.0375536480686696,0.0123822360387429,3.0328648195017,0.00242244089282962,466
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo22,0.0327485380116959,0.00600088188282605,5.45728755392088,4.83463062498203e-08,855
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo23,0.0692386831275721,0.00660058431800399,10.4897808726894,9.62513546885239e-26,2430
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo24,0.0557006092254134,0.00570610701381941,9.76157809352578,1.64574106542539e-22,2298
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo25,0.0516900790166813,0.00490273511672727,10.5431106894443,5.46604076723564e-26,2278
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo26,0.0572095738470519,0.00669446143350302,8.54580677106325,1.27641427582269e-17,1713
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo27,0.05440414507772,0.00687208378510587,7.91668826792132,2.4392028140564e-15,1737
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo28,0.0532366466218593,0.00522044367816185,10.1977245429462,2.02972082387566e-24,2827
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo29,0.0491671144545942,0.00563995992786929,8.71763542354971,2.84071941814468e-18,1861
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo30,0.0540792540792531,0.00593042001967266,9.11895850544463,7.58497166862377e-20,2145
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo31,0.0601458080194412,0.00519219585917419,11.5838865964904,4.97387303132586e-31,2469
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo32,0.0520777118186724,0.00601515302063463,8.65775345033166,4.81152834570511e-18,1853
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_Alpine_Cooinda,0.0604147880973851,0.00932702121797326,6.47739365929234,9.33204971318238e-11,1109
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_Alpine_D01,0.0551807228915662,0.00708381146989907,7.78969388528241,6.71717338448627e-15,2075
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_Alpine_D07,0.061009174311926,0.00967448193535493,6.30619548618628,2.85977798543178e-10,1090
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_Desert_Sandy,0.019774011299435,0.0161792764226536,1.22218143647934,0.221639022262091,354
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_FraserIsland_D02,0.059322033898305,0.0246114556353926,2.41034235346066,0.0159375573816056,59
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_FraserIsland_E56,0.0465116279069767,0.0251752351947878,1.84751512933656,0.0646725174638681,43
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_FraserIsland_Y07,0.0813953488372093,0.0309424506697087,2.63053982717961,0.0085249380198301,43
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_FraserIsland_Y47,0.1,0.0475801257493693,2.10171785856042,0.0355779982527909,20
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_Gibson_Desert_D08,0.0242382271468144,0.00945569877486184,2.56334594871531,0.0103668694873638,722
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_Kimberley_D09,-0.0172413793103448,0.0131144487351658,-1.31468578348344,0.188615526413726,29
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_Northern_Queensland_D04,-0.0384615384615384,0.0332579092266131,-1.15646290930283,0.247491862448041,52
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_Northern_Queensland_D10,0.0470588235294118,0.0290677880760052,1.61893376291186,0.105461515471999,85
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_Northern_Territory_D06,0.0652010050251255,0.00671762119692713,9.70596631065632,2.84368802653037e-22,1990
CoyoteCalifornia,FernCave.100bp,AndeanFox,Dingo_Simpson_Desert_D03,0.0244755244755245,0.0243765618287927,1.00405974589143,0.315349816591917,143
CoyoteCalifornia,FernCave.100bp,AndeanFox,DO-CO-159148,0.0580459770114943,0.00724017177905231,8.01720992027239,1.08174161174297e-15,1740
CoyoteCalifornia,FernCave.100bp,AndeanFox,DO-CO-167564,0.04,0.0133671182897741,2.99241759763585,0.00276777375148491,325
CoyoteCalifornia,FernCave.100bp,AndeanFox,DO-CO-167565,0.102362204724409,0.0341015215080701,3.00169025303418,0.00268485210057234,127
CoyoteCalifornia,FernCave.100bp,AndeanFox,DO-CO-167767,0.0474308300395257,0.0110823489372251,4.2798535137445,1.87016363815013e-05,506
CoyoteCalifornia,FernCave.100bp,AndeanFox,DO-CO-168535,0.0638138138138138,0.0155115577980837,4.1139526180728,3.88941302352359e-05,666
CoyoteCalifornia,FernCave.100bp,AndeanFox,DO-CO-169117,0.0553982634956586,0.00507213164074396,10.9220870867486,9.03943826524556e-28,2649
CoyoteCalifornia,FernCave.100bp,AndeanFox,DO-CO-170078,0.041015625,0.020939857886862,1.95873464001558,0.0501438714743455,256
CoyoteCalifornia,FernCave.100bp,AndeanFox,DO-CO-170282,0.0463988919667591,0.00953005904287241,4.86868882532906,1.12341145297564e-06,722
CoyoteCalifornia,FernCave.100bp,AndeanFox,DO-CO-170647,0.0229591836734694,0.0126139038978692,1.82014892925796,0.0687363280427962,196
CoyoteCalifornia,FernCave.100bp,AndeanFox,DO-CO-175110,0.0539167079821517,0.005724228130058,9.41903550262687,4.55250494919737e-21,2017
CoyoteCalifornia,FernCave.100bp,AndeanFox,Elly01,0.0533755274261603,0.00790001524227263,6.75638284095329,1.41479282406205e-11,1185
CoyoteCalifornia,FernCave.100bp,AndeanFox,HF014,0.0559413580246914,0.00765884586252196,7.30414987177593,2.79025233159436e-13,1296
CoyoteCalifornia,FernCave.100bp,AndeanFox,HF081,0.0641093011035212,0.00570740707643678,11.2326491250639,2.81897708778926e-29,1903
CoyoteCalifornia,FernCave.100bp,AndeanFox,HF093,0.046875,0.00700140002429632,6.69508953028451,2.15539629302858e-11,1536
CoyoteCalifornia,FernCave.100bp,AndeanFox,HF145,0.0597096188747731,0.00458585813399849,13.0203807292031,9.37025335096903e-39,2755
CoyoteCalifornia,FernCave.100bp,AndeanFox,HF154,0.055527123848516,0.00602676032848145,9.21342824703087,3.15871862285004e-20,1954
CoyoteCalifornia,FernCave.100bp,AndeanFox,HF225,0.0545590433482797,0.00592367821317129,9.21033205803918,3.25117602565922e-20,2007
CoyoteCalifornia,FernCave.100bp,AndeanFox,LV3003932745,0.0579746835443037,0.00550104886476388,10.5388417680947,5.7198989893172e-26,1975
CoyoteCalifornia,FernCave.100bp,AndeanFox,ND0090,0.068003144654088,0.00747683438413268,9.0951786759386,9.44310724292877e-20,1272
