pop1,pop2,pop3,pop4,est,se,z,p,n
CoyoteCalifornia,AfghanHound,AndeanFox,di0247,0.0525443086058158,0.00304943333574616,17.2308435111138,1.55861797103194e-66,100037
CoyoteCalifornia,AfghanHound,AndeanFox,di0678,0.0545161778144921,0.00160273738760312,34.0144169819489,1.36384639743347e-253,307489
CoyoteCalifornia,AfghanHound,AndeanFox,di0794,0.0544184924922573,0.00188462840533367,28.8749189698341,2.46610192518443e-183,306528
CoyoteCalifornia,AfghanHound,AndeanFox,di1085,0.0467965133458091,0.00326425792165013,14.336034243934,1.30290959015767e-46,30459
CoyoteCalifornia,AfghanHound,AndeanFox,di1426,0.0526563288766189,0.00139768848381422,37.6738661628823,0,477407
CoyoteCalifornia,AfghanHound,AndeanFox,di1436,0.0513352902088047,0.0014907517700897,34.4358405193884,7.33631935893143e-260,327563
CoyoteCalifornia,AfghanHound,AndeanFox,di1522,0.0501899270874606,0.00263390990625153,19.0552937928271,5.938224249888e-81,47957
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo02,0.0514610575433967,0.00166044249603012,30.9923756266372,6.82921786382218e-211,297028
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo03,0.0320145259938838,0.00647931872146361,4.94103274898815,7.77098532661517e-07,3488
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo04,0.0532618853385114,0.00270981430744256,19.6551790254508,5.22044459624467e-86,87033
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo05,0.0493592650257217,0.0015687795528541,31.4634805992478,2.74569155878582e-217,249206
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo06,0.0512483175832172,0.00133953520566582,38.2582834452223,0,420526
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo07,0.0250521425862723,0.00511049916784346,4.90209307613367,9.48208877529614e-07,3516
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo08,0.0476333681459951,0.00111625940574463,42.6723106661932,0,397365
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo09,0.0453199695784442,0.0029283544259713,15.476258330107,5.01823453562545e-54,27612
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo10,0.0317934340971884,0.00371073561204142,8.5679599468143,1.05334419162106e-17,12306
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo12,0.0439029129807158,0.00172385596763696,25.4678545104307,4.47773508359842e-143,162102
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo13,0.0501545856179301,0.0019900705644163,25.2024156905415,3.76871933044449e-140,230347
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo14,0.0492408328926941,0.00176624251114845,27.8788629431621,4.8143870646684e-171,138057
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo15,0.0517422567053492,0.00175666069027784,29.4548952974895,1.08973918569812e-190,270406
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo16,0.0487466183157774,0.00149952360223043,32.5080700585642,8.20060834848371e-232,202685
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo17,0.0509092398920793,0.00153298380873804,33.2092482659606,7.91676660527166e-242,276623
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo18,0.0499254481462248,0.0017887805238082,27.9103263266399,1.99935645119382e-171,109767
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo19,0.0460623657221622,0.00142605489069483,32.3005559061748,6.87023553937045e-229,213798
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo20,0.0486640397002857,0.00139315359842922,34.9308502344281,2.52967576352737e-267,227639
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo21,0.0470415422342001,0.00189817084792136,24.7825649022659,1.38219474693148e-135,82374
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo22,0.0465522946925602,0.00144162716230204,32.2914938826651,9.20867325243495e-229,147064
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo23,0.0508041441690895,0.00118663921488386,42.8134714678731,0,404488
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo24,0.0505463515940363,0.0012479325340846,40.5040739090223,0,410572
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo25,0.0443468885999877,0.000900145879859967,49.2663351487946,0,379213
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo26,0.0505623475694252,0.00174282035314745,29.0117954372704,4.67124920761674e-185,288656
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo27,0.0498106385627711,0.00149739159387453,33.2649380205782,1.24153037667232e-242,297183
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo28,0.0485700943603057,0.00117123182368607,41.4692406559166,0,459162
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo29,0.0489289848851427,0.00131379352574395,37.2425224560581,1.40015299326393e-303,307512
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo30,0.0494848394872805,0.00130516984233669,37.914482760869,0,350263
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo31,0.0502270903254037,0.00127081035315324,39.523671018871,0,411180
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo32,0.0497673093489191,0.00144671067856327,34.4003193495074,2.49391297559057e-259,309173
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo_Alpine_Cooinda,0.0579086385714747,0.00253273923950512,22.8640349816626,1.05969117708698e-115,185702
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo_Alpine_D01,0.0550939480208501,0.00158757863121972,34.7031302496948,7.06667523948337e-264,346344
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo_Alpine_D07,0.0587089123095716,0.00262696755428264,22.348548695952,1.24732447541949e-110,184737
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo_Desert_Sandy,0.0453409411101719,0.00209828393625683,21.6085822927551,1.4915830604828e-103,59150
CoyoteCalifornia,AfghanHound,AndeanFox,Dingo_FraserIsland_D02,0.0263929618768328,0.00329404993754272,8.01231383168444,1.12570164463939e-15,7502
