pop1,pop2,pop3,pop4,pop5,alpha,se,z
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Ancient_Curracurrang_D10,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.358494238564138,0.0629766907097114,5.69249089661765
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Ancient_Curracurrang_D13,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.493373383548195,0.0369330819625771,13.3585760334898
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Ancient_Curracurrang_D16,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.564949452808095,0.036052077358875,15.6703717010365
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_276,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0233373657621308,0.024729408630603,0.943709011029504
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_295,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0119301614275538,0.0243468857044311,0.490007698413049
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_372,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,-0.0631286581636376,0.0263457436912475,-2.3961615547262
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_485,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,-0.0226239087523648,0.025705963092648,-0.880103525817141
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_615,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.0015587303665171,0.0250310955552263,0.0622717596630186
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_639,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.00954534213902921,0.0269728143353469,0.353887511342129
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_762,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,-0.040272158535712,0.0260525043422101,-1.54580757407123
CoyoteCalifornia,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_884,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,0.044733408708732,0.0244948356567893,1.82623836858988
