pop1,pop2,pop3,pop4,pop5,alpha,se,z
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Ancient_Curracurrang_D10,0.453466729947985,0.038495556907463,11.7797160601688
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Ancient_Curracurrang_D13,0.429855487942904,0.0198430759678918,21.6627446590667
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Ancient_Curracurrang_D16,0.395429535129716,0.0174538442515962,22.6557272672784
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Ancient_Nullarbor_276,0.3436774771779,0.0154511163464389,22.2428897350908
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Ancient_Nullarbor_295,0.340422372566454,0.015491039683536,21.9754373832156
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Ancient_Nullarbor_372,0.329132864315511,0.0152383463929235,21.5989882254125
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Ancient_Nullarbor_485,0.350188255242676,0.0155942419268534,22.4562538458281
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Ancient_Nullarbor_615,0.33900795269881,0.0149031550038009,22.7473949383436
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Ancient_Nullarbor_639,0.338732084509271,0.0154206551634099,21.966127957586
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Ancient_Nullarbor_762,0.343083757444798,0.0155001833886639,22.1341740831088
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Ancient_Nullarbor_884,0.320993900580628,0.014743986963517,21.771173657092
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Ancient_Nullarbor_1227,0.344251933687944,0.0154994576221785,22.210579368619
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Gatton.838bp,0.408653590134096,0.0214029358126646,19.0933427876883
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,McEachernCave.1468bp,0.334827540508163,0.0407131369667024,8.2240663690937
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,MtGambier.724bp,0.373638576807629,0.0260230858937846,14.3579657821008
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Nunderah.983bp,0.388018276943594,0.0221633851158176,17.5071756825934
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,TowerHill.460bp,0.409052665888729,0.0389142397655513,10.5116447951488
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,di0678,0.395249640031928,0.0204572844834239,19.3207285332612
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,di0794,0.414232878880822,0.0197039240965222,21.0228620883662
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,di1085,0.394454096542225,0.0184575658031499,21.3708622658633
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,di1436,0.403228803390076,0.0206092729088083,19.565406561128
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,di1522,0.417083052675736,0.0190366654775771,21.9094595724766
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo02,0.394507606630276,0.0190593960960427,20.6988513509191
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo03,0.413547403097468,0.0193024622321812,21.4245933043712
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo04,0.346023046201855,0.0159538987447923,21.6889333282752
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo05,0.390165418987903,0.0231768152555114,16.8342981849123
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo06,0.404241444125383,0.021751772953848,18.5842986216841
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo07,0.380841319189846,0.0176247761319074,21.6082925728844
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo08,0.413941594680399,0.021695402348777,19.0796920022888
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo09,0.409482631220576,0.0189791224039764,21.5754249593112
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo10,0.416305350481306,0.0193161685053402,21.5521701607756
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo13,0.401143851590823,0.0195117801765241,20.5590596020277
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo15,0.383006700368505,0.0196967106678659,19.4452112754725
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo16,0.395906003905666,0.0196979611298516,20.0988316148966
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo19,0.423510822210816,0.0193647836838881,21.8701550776002
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo20,0.401060885267918,0.0238956891650995,16.7838174700432
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo21,0.391350137039746,0.0188729168535056,20.7360706390784
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo22,0.381246660818533,0.0192803014422251,19.7738952350392
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo23,0.412235946796951,0.0223691365070162,18.4287822941959
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo24,0.415661259801238,0.020422675252063,20.3529290198771
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo25,0.424391253285288,0.0226037708528949,18.7752413545165
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo26,0.40513451746543,0.023111442667836,17.5296074454605
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo27,0.404973389577991,0.0199469377166723,20.3025344205844
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo28,0.399502126930072,0.0199627879968216,20.0123413119289
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo29,0.389922757972758,0.021616413906248,18.038272197409
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo30,0.444040237783437,0.0240250998256412,18.482347253747
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo31,0.367830857885875,0.0190964892163986,19.2617006046331
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo32,0.362823808042241,0.0192121903980901,18.8850828835378
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Alpine_Cooinda,0.396655620319505,0.0193287010379183,20.5215870192913
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_Desert_Sandy,0.395853544094493,0.0185265891680458,21.36677941654
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_FraserIsland_D02,0.386306309341077,0.0178858645685835,21.5984140917417
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_FraserIsland_E56,0.385981034968807,0.0173940372573389,22.1904224567505
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,HighlandWildDog,Dingo_FraserIsland_Y07,0.396370841808411,0.0180774506678973,21.926257694748
