pop1,pop2,pop3,pop4,pop5,alpha,se,z
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo_Ancient_Curracurrang_D10,0.0734360289982925,0.0655963213227732,1.11951444101481
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo_Ancient_Curracurrang_D13,0.0774829793774545,0.0297908952305565,2.60089462830175
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo_Ancient_Curracurrang_D16,0.0166551827458737,0.0254749715725802,0.653786117029485
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_276,0.0103323353184906,0.0205152188187521,0.503642462202073
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_295,0.015276569144736,0.0201447095286196,0.758341495221488
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_372,0.024958217592599,0.0191847770872873,1.3009386285305
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_485,0.0238021501064074,0.020428104835078,1.16516682769004
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_615,0.0232119832717133,0.0191882065390515,1.20970051184683
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_639,0.0203585058426775,0.0200570261293971,1.01503112731346
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_762,0.0188035179983562,0.019944535262145,0.942790481262585
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_884,0.0181712119140357,0.0184390764946319,0.985472993689564
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo_Ancient_Nullarbor_1227,0.0222309218857846,0.0199694938319695,1.11324413492117
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Gatton.838bp,0.0293034894055375,0.0329818452877381,0.888473314633851
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,McEachernCave.1468bp,0.0528758516564701,0.0597528880715385,0.884908719276716
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,MtGambier.724bp,0.0275270679936742,0.0390216128677062,0.705431323072126
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Nunderah.983bp,0.0359851736543309,0.0332125034226334,1.08348272325079
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,TowerHill.460bp,0.0894126785029115,0.0582141100431928,1.53592794661931
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,di0678,-0.000615688768972707,0.029663536410972,-0.0207557440368092
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,di0794,0.0400739589493423,0.0278206927221346,1.44043713611268
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,di1085,0.0198996285245498,0.0257245068713332,0.773566957923903
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,di1436,0.0211722109352152,0.0301761403855165,0.701620905282412
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,di1522,0.0371181274529542,0.0267972928761055,1.38514467205945
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo02,0.0101060651393461,0.0294147294802539,0.343571581922257
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo03,0.0185003568323008,0.0303057537881245,0.610456910646131
CoyoteCalifornia,Dingo_Ancient_Nullarbor,Papua_Indonesia_518bp,NewGuineaSingingDog,Dingo04,0.00965835485929289,0.0217912610799729,0.443221474142647
