"pat","wt","dof","chisq","p","f4rank","Dingo_Ancient_Nullarbor","HighlandWildDog","Papua_Indonesia_518bp","feasible","best","dofdiff","chisqdiff","p_nested","target","right","source"
"0",0,5,17.8251179513537,0.00317375776907019,0,1,NA,NA,TRUE,NA,NA,NA,NA,"Dingo_Ancient_Curracurrang_D10","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor"
"00",0,3,3.36783331861222,0.338312547895218,1,0.128773664064263,0.871226335935737,NA,TRUE,NA,NA,NA,NA,"Dingo_Ancient_Curracurrang_D10","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"01",1,4,21.5324885407653,0.000248266077583325,0,1,NA,NA,TRUE,TRUE,0,17.22938791058,0,"Dingo_Ancient_Curracurrang_D10","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"10",1,4,4.3031006301853,0.366536995588776,0,NA,1,NA,TRUE,TRUE,NA,NA,NA,"Dingo_Ancient_Curracurrang_D10","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"00",0,3,1.39015179292162,0.707844820979144,1,0.847544054766612,NA,0.152455945233388,TRUE,NA,NA,NA,NA,"Dingo_Ancient_Curracurrang_D10","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"01",1,4,11.2126004355949,0.0242757724227273,0,1,NA,NA,TRUE,TRUE,0,-139.509075714277,1,"Dingo_Ancient_Curracurrang_D10","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"10",1,4,150.721676149872,1.42585235960082e-31,0,NA,NA,1,TRUE,TRUE,NA,NA,NA,"Dingo_Ancient_Curracurrang_D10","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog","Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp"
"0",0,5,133.219676983089,4.93320094617006e-27,0,1,NA,NA,TRUE,NA,NA,NA,NA,"Dingo_Ancient_Curracurrang_D13","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor"
"00",0,3,58.2475705505353,1.39172229579825e-12,1,-378.22493739968,379.22493739968,NA,FALSE,NA,NA,NA,NA,"Dingo_Ancient_Curracurrang_D13","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
"01",1,4,137.802030057902,8.33974664964603e-29,0,1,NA,NA,TRUE,TRUE,0,41.4146147037261,0,"Dingo_Ancient_Curracurrang_D13","CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|Papua_Indonesia_518bp","Dingo_Ancient_Nullarbor|HighlandWildDog"
