target,source,p,Dingo_Ancient_Nullarbor,HighlandWildDog,Papua_Indonesia_518bp,se_Dingo_Ancient_Nullarbor,se_HighlandWildDog,se_Papua_Indonesia_518bp,z_Dingo_Ancient_Nullarbor,z_HighlandWildDog,z_Papua_Indonesia_518bp,num_sources,valid
DO-CO-159148,Dingo_Ancient_Nullarbor,0.000661246115371942,1,NA,NA,1.81286629340663e-13,NA,NA,5516126609209.88,NA,NA,1,FALSE
DO-CO-159148,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0121921965489804,0.904196259562331,NA,0.095803740437669,0.02977720133112,NA,0.0297772013311199,30.3653875831964,NA,3.21735207323011,2,TRUE
DO-CO-167767,Dingo_Ancient_Nullarbor,0.00219636758141334,1,NA,NA,1.03080353091912e-13,NA,NA,9701169718620.82,NA,NA,1,FALSE
DO-CO-167767,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.211801348600031,0.906958974555833,NA,0.0930410254441668,0.0264629849483286,NA,0.0264629849483287,34.2727389342795,NA,3.51589307199614,2,TRUE
DO-CO-168535,Dingo_Ancient_Nullarbor,0.110239349673612,1,NA,NA,0,NA,NA,Inf,NA,NA,1,TRUE
DO-CO-168535,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0784532116377577,0.975142462700125,NA,0.0248575372998753,0.0273169710048546,NA,0.0273169710048547,35.6973129461106,NA,0.909966822289985,2,TRUE
DO-CO-169117,Dingo_Ancient_Nullarbor,1.89042316840233e-05,1,NA,NA,2.73706942974578e-13,NA,NA,3653542687416.89,NA,NA,1,FALSE
DO-CO-169117,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.0108948239372222,0.881045678720221,NA,0.118954321279779,0.0299249170679563,NA,0.0299249170679563,29.4418753682579,NA,3.97509276331983,2,TRUE
DO-CO-170078,Dingo_Ancient_Nullarbor,0.266422310383677,1,NA,NA,1.24409590338765e-13,NA,NA,8037965540092.33,NA,NA,1,TRUE
DO-CO-170078,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.170243177865119,0.992636427150587,NA,0.00736357284941267,0.0240679103748306,NA,0.0240679103748306,41.2431495585363,NA,0.30594982010209,2,TRUE
DO-CO-170282,Dingo_Ancient_Nullarbor,0.252730602737777,1,NA,NA,1.5640612553651e-13,NA,NA,6393611481454.2,NA,NA,1,TRUE
DO-CO-170282,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,0.295030307795649,0.983090381537134,NA,0.0169096184628655,0.0276479013495852,NA,0.0276479013495853,35.5575046766392,NA,0.611605859304008,2,TRUE
DO-CO-170647,Dingo_Ancient_Nullarbor,0.0665183345150158,1,NA,NA,3.5544633532128e-14,NA,NA,28133642145898.7,NA,NA,1,TRUE
