target,source,right,pat,wt,dof,chisq,p,f4rank,Dingo_Ancient_Nullarbor,HighlandWildDog,Papua_Indonesia_518bp,feasible,best,dofdiff,chisqdiff,p_nested,weight_Dingo_Ancient_Nullarbor,weight_HighlandWildDog,weight_Papua_Indonesia_518bp,se_Dingo_Ancient_Nullarbor,se_HighlandWildDog,se_Papua_Indonesia_518bp,z_Dingo_Ancient_Nullarbor,z_HighlandWildDog,z_Papua_Indonesia_518bp,num_sources,num_right,all_above_3,sum_above_3,rank
DO-CO-159148,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,10.9154089932259,0.0121921965489804,1,0.904196259562331,NA,0.095803740437669,TRUE,NA,NA,NA,NA,0.904196259562331,NA,0.095803740437669,0.02977720133112,NA,0.0297772013311199,30.3653875831964,NA,3.21735207323011,2,5,TRUE,2,1
DO-CO-167767,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,4.50548736800721,0.211801348600031,1,0.906958974555833,NA,0.0930410254441668,TRUE,NA,NA,NA,NA,0.906958974555833,NA,0.0930410254441668,0.0264629849483286,NA,0.0264629849483287,34.2727389342795,NA,3.51589307199614,2,5,TRUE,2,1
DO-CO-168535,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,8.97068036763565,0.110239349673612,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,0,NA,NA,Inf,NA,NA,1,6,TRUE,1,1
DO-CO-169117,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,11.1593233746031,0.0108948239372222,1,0.881045678720221,NA,0.118954321279779,TRUE,NA,NA,NA,NA,0.881045678720221,NA,0.118954321279779,0.0299249170679563,NA,0.0299249170679563,29.4418753682579,NA,3.97509276331983,2,5,TRUE,2,1
DO-CO-170078,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,6.43199954058386,0.266422310383677,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.24409590338765e-13,NA,NA,8037965540092.33,NA,NA,1,6,TRUE,1,1
DO-CO-170282,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,6.5927629600575,0.252730602737777,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,1.5640612553651e-13,NA,NA,6393611481454.2,NA,NA,1,6,TRUE,1,1
DO-CO-170647,Dingo_Ancient_Nullarbor,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog|Papua_Indonesia_518bp,0,0,5,10.3255865062526,0.0665183345150158,0,1,NA,NA,TRUE,NA,NA,NA,NA,1,NA,NA,3.5544633532128e-14,NA,NA,28133642145898.7,NA,NA,1,6,TRUE,1,1
DO-CO-175110,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,9.22335416045404,0.026464047079396,1,0.851871415972267,NA,0.148128584027733,TRUE,NA,NA,NA,NA,0.851871415972267,NA,0.148128584027733,0.0301747739847802,NA,0.0301747739847802,28.231244297039,NA,4.90902049846163,2,5,TRUE,2,1
Dingo02,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,2.16267870182079,0.539336863125561,1,0.784219567015506,NA,0.215780432984494,TRUE,NA,NA,NA,NA,0.784219567015506,NA,0.215780432984494,0.0329817056093288,NA,0.0329817056093289,23.7774109169688,NA,6.54242796113795,2,5,TRUE,2,1
Dingo05,Dingo_Ancient_Nullarbor|Papua_Indonesia_518bp,CoyoteCalifornia|Russia_Baikal_7k|Germany_7k|Ireland_Neolithic.Newgrange|HighlandWildDog,0,0,3,2.79236643388744,0.424758080086465,1,0.796961148815584,NA,0.203038851184416,TRUE,NA,NA,NA,NA,0.796961148815584,NA,0.203038851184416,0.0336228443984067,NA,0.0336228443984066,23.7029663336083,NA,6.03871727146433,2,5,TRUE,2,1
